,CANT,DESCR,PRECIO_UNITARIO,COSTO_TOTAL_CALCULADO
0,1,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V",434.48,52.8
1,1,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT",1264.05,327.18
2,7,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT,551.61,1243.73
3,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,140.0,38.96
4,2,BAN P INOX 115MMX235MM 1000W 127V T/TOR,172.41,203.42
5,2,BAN P INOX 55MMX235MM 450W 127V T/TOR,237.07,98.82
6,1,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5323.76
7,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,116.88
8,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
9,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
10,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,517.89
11,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,586.32
12,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,586.32
13,1,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA,1485.25,86.22
14,1,BC INOX 114MMØX165MM 1500W 230V C/ALLEN,2095.25,742.05
15,5,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP",192.5,397.08
16,2,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",771.28,248.0
17,3,"TER J 3/16""ØX2"" EXT.2MT CON-1/2"" NPT",125.0,425.69
18,5,BAN MICA 120mmØx50mm 850W 440V TTORNILLO,821.3,393.48
19,7,BAN MICA Ø120MM X 50 MM 700W 440V T TOR,821.3,530.41
20,3,BAN INOX 36MMØX25MM 150W 240V EXT30CM,496.35,82.29
21,3,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,443.27
22,1,PT-100 4MMØX10CM EXT 5MT TEFLON 2HILOS,718.52,259.35
23,1,"PT-100 DE 1/4""ØX14.5CM EXT 5MT CONECTOR",898.25,332.65
24,2,REPARACION DE TERMOPAR,1500.0,0.72
25,3,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",1848.0,3245.66
26,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,620.0
27,6,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,264.83
28,2,"PT-100 1/4""Øx60CMS CABEZA Y BLOCK 1/2""X",2005.46,978.77
29,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,9163.18
30,6,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V",856.04,1771.42
31,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,9163.18
32,1,"TUB INOX 1/4""ØX6"" 1675W 120V PARRILLA",601.23,178.6
33,10,"TER J 3/16""ØX1"" EXT.2MTS MALLA Z/ESPADA",150.5,689.45
34,10,"TER K 3/16""ØX1"" EXT.2MT RES/MALLA INOX",215.96,783.24
35,1,REPARACION DE SELLADORA PCS-300,382.1,5.76
36,1,REPARACION DE SELLADORA PCS-200,485.23,45.01
37,1,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,289.05
38,40,"CART INOX 3/8""Øx8"" 340W, 220V CABLE 35CM",259.6,2594.17
39,1,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,161.73
40,3,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L""",12720.0,4527.42
41,9,"TUB INOX 7/16""ØX80CM 1200W 127V T/TOR",619.21,915.42
42,10,BOB 8020  CAL.19 79MMØX750MM GAZA 40CM,505.08,819.14
